name,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,access,public_access_hours_open,public_access_hours_close,public_access_days,data_as_of
Alice Chalmers Playground - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.70975592,-122.44678565,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Jerry Garcia Parking Bottle filling station,drinking_water,1,1,0,0,37.7209238,-122.41692421,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Restrooms,restroom,0,0,0,0,37.79172382012726,-122.42815243343853,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Mission Dolores North Restrooms,restroom,0,0,0,0,37.76079354207481,-122.42768731036251,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Mother's Meadow Restroom - Male Restroom,restroom,0,0,0,0,37.76638470261748,-122.476697089109,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/21 02:15:01 PM
Beach Chalet Soccer Fields Restrooms,restroom,0,0,0,0,37.767267840268474,-122.50798559173631,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/21 02:15:01 PM
Parkside Branch Library,drinking_water,1,0,0,0,37.74316235800006,-122.47934506399996,limited_access,,,Daily,2024/10/10 10:24:00 AM
Boat Children's Play Area Restroom,restroom,0,0,0,0,37.7644801806687,-122.50495827514384,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/21 02:15:01 PM
Mountain Lake Park - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.78749349,-122.4684184,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Mission Rec Center - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.7581285,-122.413062,limited_access,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
J.P. Murphy Playground - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.75209419,-122.4650576,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Bayfront Park ##2,drinking_water,1,1,1,1,37.769266,-122.385705,,,,,2024/10/04 01:51:23 PM
Walter Haas Playground - Drinking Fountain/Cooler,drinking_water,1,1,0,0,37.74064005,-122.43528428,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Bayview Picnic AreaBottle filling station,drinking_water,1,1,0,0,37.725796290000005,-122.39330733,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Fulton Clubhouse,restroom,0,0,0,0,37.77354501950078,-122.48663993296265,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
China Basin Park Restroom,restroom,0,0,0,0,37.776348,-122.388505,publicly_accessible,,,Daily,2024/10/04 01:51:23 PM
Restroom,restroom,0,0,0,0,37.78422005104755,-122.50182639926255,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/21 02:15:01 PM
Landscaped Areas,restroom,0,0,0,0,37.73921045423949,-122.38573118327052,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/20 10:36:57 AM
Potrero Hill Rec Center,restroom,0,0,0,0,37.756272309679176,-122.39695006335867,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 05:16:30 PM
Shoreview Park - Drinking Fountain/Cooler,drinking_water,1,1,0,0,37.73177917,-122.38125781,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Bernal Heights Rec Center,restroom,0,0,0,0,37.738312761309125,-122.41599756145315,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 05:17:47 PM
Margaret S. Hayward Clubhouse,restroom,0,0,0,0,37.780528059381275,-122.42582423061177,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Margaret S.Hayward Playground - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.78069454,-122.42684637,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Franklin Square - Drinking Fountain/Cooler,drinking_water,1,1,0,0,37.764807170000005,-122.40910428,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.79583564,-122.41043563,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Tenderloin Pit Stop - Turk and Hyde streets,restroom,0,0,0,0,37.7825365,-122.4157402,publicly_accessible,,,,2024/10/10 10:39:51 AM
TNDC: Candlestick Block A,drinking_water,0,1,1,0,37.719071,-122.393147,publicly_accessible,,,Daily,2024/06/27 01:43:12 PM
Precita Park - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.7468604,-122.41325644,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
China Basin Park Water Fountain #5,drinking_water,0,1,1,0,37.775948,-122.389857,publicly_accessible,,,Daily,2024/10/04 01:51:23 PM
